Key,Het_P,LGBT_P,Total_P,Het_abs,LGBT_abs,Total_abs
CI.1,26,25,25,4714,192,5025
CI.2,33,33,32,6042,256,6511
CI.3,50,47,49,9278,360,9968
CI.6,48,37,46,8808,286,9377
CI.7,22,19,21,3976,147,4285
CI.8,7,16,7,1302,122,1467
CI.11,30,30,29,5525,229,5966
CI.12,29,28,29,5373,212,5853
CI.13,41,42,42,7575,321,8446
Fam.1,43,30,42,7950,234,8472
Fam.2,86,93,85,15907,722,17243
Fam.3,94,95,93,17288,736,18808
Fam.4,87,90,86,16079,697,17482
Fam.5,13,9,13,2400,68,2535
Disc.1,86,95,85,15884,736,17297
Disc.2,13,30,13,2306,233,2702
Trust.1,63,51,61,11625,395,12434
Trust.2,20,30,21,3739,234,4330
Trust.3,17,19,17,3082,145,3502
Trust.6,78,68,76,14362,522,15491
Trust.7,13,25,14,2479,197,2927
Trust.8,9,13,9,1614,98,1825
Trust.11,82,56,79,15058,436,16080
Trust.12,11,16,12,2068,120,2406
Trust.13,7,32,9,1362,248,1775
Trust.16,65,41,63,11952,317,12752
Trust.17,18,24,19,3382,185,3846
Trust.18,17,36,18,3163,280,3675
Stress.1,58,76,59,10775,591,11939
Stress.2,33,38,33,6096,292,6615
Stress.3,3,6,3,532,43,636
Stress.4,20,28,21,3725,219,4171
Crime.1,4,9,4,738,66,831
Crime.2,4,8,5,817,62,934
Health.1,55,49,54,10157,376,10994
Health.2,30,36,31,5577,280,6187
Health.3,15,17,15,2734,131,3067
Health.6,10,13,10,1817,103,2042
Health.7,90,86,90,16664,666,18243
Male,49,39,49,9066,303,9956
Female,51,61,51,9411,473,10325
Age_15_to_24,14,29,15,2619,225,3056
Age_25_to_39,26,49,27,4851,375,5522
Age_40_to_54,24,13,24,4493,103,4830
Age_55_to_70,21,8,21,3913,59,4145
Age_70_and_above,14,5,14,2610,35,2734
employ.1,39,41,39,7183,320,7823
employ.2,22,27,22,4016,208,4478
employ.3,4,9,4,730,72,885
employ.4,35,26,35,6527,202,7119
educ.1,33,34,33,6150,259,6733
educ.2,32,36,31,5832,276,6307
educ.3,34,33,34,6208,254,6911
employ.1,50,64,50,9199,496,10218
employ.2,18,20,18,3243,157,3625
employ.3,33,17,32,6029,128,6441
famcomp.1,32,22,32,5963,167,6473
famcomp.2,5,5,5,860,40,944
famcomp.3,28,28,28,5239,218,5672
famcomp.4,13,11,13,2383,86,2632
famcomp.5,13,17,13,2475,131,2722
famcomp.6,9,16,9,1601,120,1818
marital.1,51,11,49,9399,88,9849
marital.2,11,30,12,2062,233,2396
marital.3,38,57,40,7027,443,8017
income_cat.1,67,77,67,12339,594,13558
income_cat.2,2,1,2,318,10,336
income_cat.3,18,17,18,3364,129,3671
income_cat.4,9,4,9,1646,31,1771
inc.1,18,11,18,3274,85,3671
inc.2,18,18,18,3228,136,3584
inc.3,19,13,19,3503,98,3815
inc.4,21,24,21,3943,188,4153
inc.5,20,31,20,3690,240,4049
gov,26,19,25,4756,147,5126
